condition,fold,test_zone,geometry_seed,n_csi_repeats,test_nrmse_mean,theta_hat_mean,theta_abs_error_mean,test_squared_error_mean,test_truth_energy
D0,0,Z0-south,0,20,0.0005456475069711856,1.0003910678707146,0.0014219892268046651,8.957451093273371e-09,0.021790339513437923
D0,0,Z0-south,1,20,0.0003442043194571733,0.9999922013497662,0.0008972379033323763,3.821230620866218e-09,0.021790339513437923
D0,0,Z0-south,2,20,0.0004337006639015776,0.9997634824946295,0.0011306127195501725,5.654246124167891e-09,0.021790339513437923
D0,0,Z0-south,3,20,0.0004233732762653626,1.0002220297505742,0.0011033613372543327,6.169196658029915e-09,0.021790339513437923
D0,0,Z0-south,4,20,0.0003421805857272391,1.0001821312770294,0.0008918372599280189,3.6611600318205775e-09,0.021790339513437923
D0,1,Z1-east,0,20,0.00048563911537016763,1.0000535648830677,0.0016935406631984396,1.1418782066344104e-07,0.3192063287804825
D0,1,Z1-east,1,20,0.00044833192762353143,0.9999541137602554,0.0015634399147329337,9.74681033886768e-08,0.3192063287804825
D0,1,Z1-east,2,20,0.0005725803719084379,0.9999078635686418,0.001996971136280834,1.5157078873280224e-07,0.3192063287804825
D0,1,Z1-east,3,20,0.0006557519477753926,1.0003755631759812,0.002286553416857723,1.9343074714693392e-07,0.3192063287804825
D0,1,Z1-east,4,20,0.0005589914070088675,1.000961169505275,0.0019489814486845169,1.3217479085058052e-07,0.3192063287804825
D0,2,Z2-north,0,20,0.00016194241335859842,1.0002780175516601,0.0010156312101513077,6.930793807050276e-09,0.18609049674489903
D0,2,Z2-north,1,20,0.00018350864374913397,0.9996711593119348,0.0011511419265593903,8.844465005416922e-09,0.18609049674489903
D0,2,Z2-north,2,20,0.00016146549166858823,1.0000364370720227,0.001012748169861133,6.22885000601824e-09,0.18609049674489903
D0,2,Z2-north,3,20,0.0001760608512518723,0.99995755301075,0.0011042285360650772,7.396300763143535e-09,0.18609049674489903
D0,2,Z2-north,4,20,0.0001415985961035303,1.000028025647648,0.0008881164711488532,5.19062716099838e-09,0.18609049674489903
D0,3,Z3-west,0,20,0.0022107619548004825,1.000454452696023,0.0009235260895288644,4.887225986531754e-10,6.94805550797447e-05
D0,3,Z3-west,1,20,0.002909610292849108,1.0000225806044887,0.0012167984052739223,9.073592112299823e-10,6.94805550797447e-05
D0,3,Z3-west,2,20,0.0022287395398961963,1.0002945887050996,0.0009313251731788042,5.119679897927103e-10,6.94805550797447e-05
D0,3,Z3-west,3,20,0.0020329983410467684,0.9998862038643972,0.0008502802666859099,4.4876502406182194e-10,6.94805550797447e-05
D0,3,Z3-west,4,20,0.001806794835646391,0.9999388264397414,0.0007553613886109089,2.958752037049705e-10,6.94805550797447e-05
D0,4,Z4-center,0,20,0.00023881244574069875,1.0002476792967463,0.0011444702874810141,4.282157924550968e-09,0.0616324516384676
D0,4,Z4-center,1,20,0.0002388186813531695,0.9996535633775581,0.0011450251275647138,5.7486968063746525e-09,0.0616324516384676
D0,4,Z4-center,2,20,0.00020406684629695106,1.0002658562260751,0.0009779519491548705,3.9368811547148436e-09,0.0616324516384676
