condition,seed_index,time_index,zone,E_r_m,E_d_m,azimuth_abs_error_deg,elevation_abs_error_deg,direct_snapshot_nrmse,true_path_count,model_path_count
D0,0,0,Z0-south,6.211044464124777e-17,5.551115123125783e-17,0.0,0.0,0.0,61,61
D0,0,1,Z0-south,1.1575948963770449e-16,5.551115123125783e-17,0.0,6.994405055138486e-15,0.0,62,62
D0,0,2,Z0-south,1.192299056529371e-16,5.551115123125783e-17,0.0,1.1324274851176597e-14,0.0,61,61
D0,0,3,Z0-south,1.1548621071314795e-16,5.551115123125783e-17,0.0,7.549516567451064e-15,0.0,61,61
D0,0,4,Z0-south,1.1698777571738765e-16,1.1102230246251565e-16,0.0,9.769962616701378e-15,0.0,58,58
D0,0,5,Z0-south,5.647850449853784e-17,5.551115123125783e-17,0.0,4.440892098500626e-15,0.0,59,59
D0,0,6,Z0-south,1.2118257228641695e-16,5.551115123125783e-17,0.0,1.2878587085651816e-14,0.0,61,61
D0,0,7,Z0-south,1.3877787807814457e-17,0.0,0.0,1.7763568394002505e-15,0.0,61,61
D0,0,8,Z0-south,5.721958498152797e-17,0.0,0.0,1.7763568394002505e-15,0.0,62,62
D0,0,9,Z0-south,1.2118257228641695e-16,0.0,0.0,1.2878587085651816e-14,0.0,63,63
D0,0,10,Z0-south,1.1527756336890508e-16,1.6653345369377348e-16,0.0,1.021405182655144e-14,0.0,63,63
D0,0,11,Z0-south,5.594315114139762e-17,1.1102230246251565e-16,0.0,1.3322676295501878e-15,0.0,63,63
D0,0,12,Z0-south,1.1698777571738765e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-14,0.0,62,62
D0,0,13,Z0-south,1.22614398128331e-16,0.0,0.0,5.773159728050814e-15,0.0,64,64
D0,0,14,Z0-south,1.303699802838727e-16,0.0,0.0,1.176836406102666e-14,0.0,66,66
D0,0,15,Z0-south,1.5515838457795457e-16,1.1102230246251565e-16,0.0,4.9960036108132044e-15,0.0,60,60
D0,0,16,Z1-east,1.2894277458548993e-16,1.1102230246251565e-16,0.0,4.0245584642661925e-15,0.0,58,58
D0,0,17,Z1-east,1.0710424936134174e-16,5.551115123125783e-17,0.0,4.3298697960381105e-15,0.0,59,59
D0,0,18,Z1-east,7.152448122690996e-17,0.0,2.842170943040401e-14,8.215650382226158e-15,0.0,59,59
D0,0,19,Z1-east,1.0888758524337804e-16,1.1102230246251565e-16,2.842170943040401e-14,1.2434497875801753e-14,0.0,58,58
D0,0,20,Z1-east,1.15746490986309e-16,5.551115123125783e-17,2.842170943040401e-14,2.6645352591003757e-15,0.0,57,57
D0,0,21,Z1-east,1.0109137335799118e-16,5.551115123125783e-17,0.0,1.0658141036401503e-14,0.0,55,55
D0,0,22,Z1-east,1.15746490986309e-16,5.551115123125783e-17,2.842170943040401e-14,1.4654943925052066e-14,0.0,46,46
D0,0,23,Z1-east,1.0007415106216802e-16,5.551115123125783e-17,2.842170943040401e-14,1.2878587085651816e-14,0.0,46,46
D0,0,24,Z1-east,8.673617379884035e-17,5.551115123125783e-17,2.842170943040401e-14,1.2878587085651816e-14,0.0,46,46
D0,0,25,Z1-east,1.0031442548020353e-16,0.0,2.842170943040401e-14,1.3322676295501878e-14,0.0,47,47
D0,0,26,Z1-east,6.465191282883997e-17,1.1102230246251565e-16,0.0,4.884981308350689e-15,0.0,47,47
D0,0,27,Z1-east,8.167950598515462e-17,0.0,0.0,8.881784197001252e-15,0.0,49,49
D0,0,28,Z1-east,7.987266704438207e-17,5.551115123125783e-17,0.0,1.021405182655144e-14,0.0,47,47
D0,0,29,Z1-east,8.22668717966003e-17,5.551115123125783e-17,0.0,9.325873406851315e-15,0.0,45,45
D0,0,30,Z1-east,1.0008918511183779e-16,1.1102230246251565e-16,0.0,6.661338147750939e-16,0.0,48,48
D0,0,31,Z1-east,1.1868047619636873e-16,5.551115123125783e-17,0.0,1.2434497875801753e-14,0.0,47,47
D0,0,32,Z2-north,2.1118254565920323e-16,1.1102230246251565e-16,5.684341886080802e-14,5.051514762044462e-15,0.0,58,58
D0,0,33,Z2-north,1.5612511283791264e-17,5.551115123125783e-17,2.842170943040401e-14,2.4424906541753444e-15,0.0,61,61
D0,0,34,Z2-north,1.0109137335799118e-16,5.551115123125783e-17,0.0,1.199040866595169e-14,0.0,58,58
D0,0,35,Z2-north,1.015665410685238e-16,5.551115123125783e-17,2.842170943040401e-14,2.6645352591003757e-15,0.0,59,59
D0,0,36,Z2-north,1.0103182026100663e-16,0.0,2.842170943040401e-14,1.4210854715202004e-14,0.0,63,63
D0,0,37,Z2-north,7.979727989493313e-17,5.551115123125783e-17,0.0,1.199040866595169e-14,0.0,62,62
D0,0,38,Z2-north,5.003707553108401e-17,5.551115123125783e-17,2.842170943040401e-14,5.773159728050814e-15,0.0,62,62
D0,0,39,Z2-north,1.2412670766236366e-16,5.551115123125783e-17,0.0,1.509903313490213e-14,0.0,62,62
D0,0,40,Z2-north,2.42861286636753e-17,0.0,0.0,2.6645352591003757e-15,0.0,62,62
D0,0,41,Z2-north,5.594315114139762e-17,1.1102230246251565e-16,5.684341886080802e-14,0.0,0.0,62,62
D0,0,42,Z2-north,4.163336342344337e-17,5.551115123125783e-17,0.0,5.329070518200751e-15,0.0,62,62
D0,0,43,Z2-north,8.099505462106327e-17,0.0,2.842170943040401e-14,7.105427357601002e-15,0.0,62,62
D0,0,44,Z2-north,2.7755575615628914e-17,5.551115123125783e-17,2.842170943040401e-14,4.440892098500626e-16,0.0,63,63
D0,0,45,Z2-north,6.834017936133213e-17,0.0,0.0,7.105427357601002e-15,0.0,63,63
D0,0,46,Z2-north,2.3714374201337736e-16,0.0,2.842170943040401e-14,9.325873406851315e-15,0.0,64,64
D0,0,47,Z2-north,1.3251700693385807e-16,0.0,0.0,5.162537064506978e-15,0.0,62,62
D0,0,48,Z3-west,1.27993912314e-16,0.0,0.0,1.1934897514720433e-14,0.0,49,49
D0,0,49,Z3-west,1.326694920936101e-16,1.1102230246251565e-16,0.0,5.10702591327572e-15,0.0,48,48
D0,0,50,Z3-west,9.813077866773594e-17,0.0,0.0,1.1102230246251565e-14,0.0,48,48
D0,0,51,Z3-west,1.0385185452638061e-16,1.1102230246251565e-16,0.0,1.0658141036401503e-14,0.0,49,49
D0,0,52,Z3-west,5.742956581555481e-17,5.551115123125783e-17,0.0,8.881784197001252e-16,0.0,45,45
D0,0,53,Z3-west,7.766157643743177e-17,0.0,0.0,8.43769498715119e-15,0.0,45,45
D0,0,54,Z3-west,1.3283950133694437e-16,5.551115123125783e-17,0.0,8.881784197001252e-15,0.0,41,41
D0,0,55,Z3-west,7.186027875946681e-17,5.551115123125783e-17,0.0,6.217248937900877e-15,0.0,41,41
D0,0,56,Z3-west,7.152448122690996e-17,0.0,0.0,5.329070518200751e-15,0.0,42,42
D0,0,57,Z3-west,7.416830457584993e-17,5.551115123125783e-17,0.0,9.325873406851315e-15,0.0,43,43
D0,0,58,Z3-west,1.5469220910896388e-16,1.1102230246251565e-16,0.0,1.3322676295501878e-14,0.0,42,42
D0,0,59,Z3-west,9.26413801423296e-17,5.551115123125783e-17,0.0,1.021405182655144e-14,0.0,40,40
D0,0,60,Z3-west,5.594315114139762e-17,0.0,0.0,6.217248937900877e-15,0.0,42,42
D0,0,61,Z3-west,1.6199010924212654e-16,1.1102230246251565e-16,0.0,1.354472090042691e-14,0.0,42,42
D0,0,62,Z3-west,1.1491151892306092e-16,5.551115123125783e-17,0.0,1.354472090042691e-14,0.0,42,42
D0,0,63,Z3-west,6.210122274301659e-17,1.1102230246251565e-16,0.0,2.7755575615628914e-16,0.0,41,41
D0,0,64,Z4-center,1.7421884092632496e-16,1.6653345369377348e-16,2.842170943040401e-14,7.327471962526033e-15,0.0,52,52
D0,0,65,Z4-center,1.0408340855860843e-16,5.551115123125783e-17,0.0,1.4654943925052066e-14,0.0,51,51
D0,0,66,Z4-center,8.673617379884035e-17,0.0,0.0,1.2878587085651816e-14,0.0,55,55
D0,0,67,Z4-center,1.0888758524337804e-16,5.551115123125783e-17,0.0,1.509903313490213e-14,0.0,57,57
D0,0,68,Z4-center,1.1491151892306092e-16,0.0,0.0,1.687538997430238e-14,0.0,57,57
D0,0,69,Z4-center,6.546139416680338e-17,1.1102230246251565e-16,0.0,4.440892098500626e-15,0.0,62,62
D0,0,70,Z4-center,2.8609792490763984e-17,0.0,0.0,4.440892098500626e-16,0.0,60,60
D0,0,71,Z4-center,1.1775693440128312e-16,0.0,0.0,1.8207657603852567e-14,0.0,62,62
D0,0,72,Z4-center,4.5102810375396984e-17,0.0,0.0,7.549516567451064e-15,0.0,62,62
D0,0,73,Z4-center,1.0755285551056204e-16,0.0,0.0,1.687538997430238e-14,0.0,66,66
D0,0,74,Z4-center,8.44865542934803e-17,0.0,0.0,1.2434497875801753e-14,0.0,61,61
D0,0,75,Z4-center,4.718958039861916e-17,0.0,0.0,5.329070518200751e-15,0.0,55,55
D0,0,76,Z4-center,1.0437212869315401e-16,5.551115123125783e-17,0.0,1.3766765505351941e-14,0.0,55,55
D0,0,77,Z4-center,6.455875440461582e-17,5.551115123125783e-17,0.0,4.218847493575595e-15,0.0,54,54
D0,0,78,Z4-center,1.4252471609722174e-16,5.551115123125783e-17,0.0,1.3211653993039363e-14,0.0,58,58
D0,0,79,Z4-center,1.1271322715794071e-16,1.1102230246251565e-16,0.0,2.4492935982947065e-15,0.0,61,61
D0,1,0,Z0-south,6.211044464124777e-17,5.551115123125783e-17,0.0,0.0,0.0,61,61
D0,1,1,Z0-south,1.1575948963770449e-16,5.551115123125783e-17,0.0,6.994405055138486e-15,0.0,62,62
D0,1,2,Z0-south,1.192299056529371e-16,5.551115123125783e-17,0.0,1.1324274851176597e-14,0.0,61,61
D0,1,3,Z0-south,1.1548621071314795e-16,5.551115123125783e-17,0.0,7.549516567451064e-15,0.0,61,61
D0,1,4,Z0-south,1.1698777571738765e-16,1.1102230246251565e-16,0.0,9.769962616701378e-15,0.0,58,58
D0,1,5,Z0-south,5.647850449853784e-17,5.551115123125783e-17,0.0,4.440892098500626e-15,0.0,59,59
D0,1,6,Z0-south,1.2118257228641695e-16,5.551115123125783e-17,0.0,1.2878587085651816e-14,0.0,61,61
D0,1,7,Z0-south,1.3877787807814457e-17,0.0,0.0,1.7763568394002505e-15,0.0,61,61
D0,1,8,Z0-south,5.721958498152797e-17,0.0,0.0,1.7763568394002505e-15,0.0,62,62
D0,1,9,Z0-south,1.2118257228641695e-16,0.0,0.0,1.2878587085651816e-14,0.0,63,63
D0,1,10,Z0-south,1.1527756336890508e-16,1.6653345369377348e-16,0.0,1.021405182655144e-14,0.0,63,63
D0,1,11,Z0-south,5.594315114139762e-17,1.1102230246251565e-16,0.0,1.3322676295501878e-15,0.0,63,63
D0,1,12,Z0-south,1.1698777571738765e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-14,0.0,62,62
