variant,time_index,sigma_index,path_count,bounce_0,bounce_1,bounce_2,bounce_3,reconstruction_nrmse
static,0,,58,1,6,17,34,1.0808537354023429e-07
static,1,,59,1,6,17,35,9.380720911167373e-08
static,2,,59,1,6,16,36,1.0265436856116139e-07
static,3,,60,1,6,16,37,8.894024006167456e-08
static,4,,60,1,6,16,37,9.148366331146462e-08
static,5,,61,1,6,17,37,9.971736147917909e-08
static,6,,61,1,6,17,37,8.805220375052158e-08
static,7,,60,1,6,17,36,1.0737453237652517e-07
static,8,,59,1,6,17,35,9.928572097805954e-08
static,9,,59,1,6,17,35,1.0776978598414644e-07
static,10,,59,1,6,17,35,1.0278115780693042e-07
static,11,,58,1,6,16,35,1.1292348034430688e-07
static,12,,58,1,6,16,35,9.19644520536167e-08
static,13,,57,1,6,16,34,9.992802318947724e-08
static,14,,57,1,6,16,34,1.0142458961581724e-07
static,15,,57,1,6,16,34,9.256631727794229e-08
static,16,,57,1,6,16,34,8.998258493875255e-08
static,17,,57,1,6,16,34,9.965234681885704e-08
static,18,,57,1,6,16,34,9.416908142156899e-08
static,19,,56,1,6,16,33,8.334157541867171e-08
true,0,,58,1,6,17,34,1.0808537354023429e-07
true,1,,59,1,6,17,35,9.380720911167373e-08
true,2,,59,1,6,16,36,1.0265436856116139e-07
true,3,,57,1,5,16,35,1.0478945711156484e-07
true,4,,60,1,6,16,37,9.148366331146462e-08
true,5,,62,1,6,17,38,1.0352302126648283e-07
true,6,,40,0,2,11,27,1.4900254541316826e-07
true,7,,57,1,5,16,35,1.1070005712099373e-07
true,8,,63,1,6,17,39,1.017450514950724e-07
true,9,,36,0,2,9,25,1.6091696863895777e-07
true,10,,59,1,6,17,35,1.0278115780693042e-07
true,11,,58,1,6,17,34,1.0162693087067964e-07
true,12,,42,0,2,11,29,1.576962347371591e-07
true,13,,47,0,3,13,31,2.557503648858983e-07
true,14,,54,1,5,15,33,1.0503352854129844e-07
true,15,,57,1,6,16,34,9.287960267556628e-08
true,16,,48,0,3,13,32,2.589927987628471e-07
true,17,,60,1,6,17,36,8.229878289967019e-08
true,18,,42,0,2,11,29,1.452817883773605e-07
true,19,,57,1,6,17,33,8.404559537211753e-08
scalar,0,,58,1,6,17,34,1.0808537354023429e-07
scalar,1,,59,1,6,17,35,9.380720911167373e-08
scalar,2,,59,1,6,16,36,1.0265436856116139e-07
scalar,3,,61,1,6,17,37,8.467797840694402e-08
scalar,4,,60,1,6,16,37,9.148366331146462e-08
scalar,5,,60,1,6,16,37,1.1261460031164461e-07
scalar,6,,55,1,5,16,33,9.218020835533025e-08
scalar,7,,60,1,6,17,36,1.0737453237652517e-07
scalar,8,,60,1,6,16,37,1.069625525929041e-07
scalar,9,,43,0,3,11,29,1.28787874587033e-07
scalar,10,,59,1,6,17,35,1.0278115780693042e-07
scalar,11,,62,1,6,17,38,1.108322038589904e-07
scalar,12,,55,1,5,15,34,9.386119614873678e-08
scalar,13,,57,1,6,16,34,1.043325781324711e-07
scalar,14,,57,1,6,16,34,1.0066172961842312e-07
scalar,15,,57,1,6,16,34,1.0905812075634458e-07
scalar,16,,53,1,5,15,32,1.0020413299116626e-07
scalar,17,,56,1,6,16,33,7.871233975720315e-08
scalar,18,,54,1,5,15,33,9.59651700327413e-08
scalar,19,,57,1,6,16,34,8.949611896014176e-08
noisy_0,0,,58,1,6,17,34,1.042204473833408e-07
noisy_0,1,,58,1,6,17,34,8.876965296167327e-08
noisy_0,2,,60,1,6,16,37,1.0328530208880693e-07
noisy_0,3,,58,1,5,16,36,8.594137312911698e-08
noisy_0,4,,60,1,6,16,37,9.727106942136743e-08
noisy_0,5,,63,1,6,18,38,1.014794293041632e-07
noisy_0,6,,40,0,2,11,27,1.4900254541316826e-07
noisy_0,7,,56,1,5,16,34,1.0717273113414194e-07
noisy_0,8,,63,1,6,17,39,9.536807965560001e-08
