group,repeat,depth_repeat,theta_hat,theta_abs_error,test_complex_nrmse,test_amplitude_rms_db,test_phase_rms_deg,theta_ci_covers_truth
SIM-A,0,,1.0024043787571477,0.002404378757147718,0.00042035847162179285,0.002054210361245264,0.019237951880662674,1
SIM-A,1,,1.0016651923622462,0.0016651923622461595,0.0002910316051030867,0.001422189013647548,0.013319093255299494,1
SIM-A,2,,1.0025186754093705,0.002518675409370452,0.0004403631359389799,0.0021519754160819822,0.020153509419235573,1
SIM-A,3,,0.9949121369760672,0.005087863023932826,0.0008865893248874614,0.004331839303885226,0.0405708720782895,1
SIM-A,4,,1.001040624541039,0.001040624541039037,0.00018182372041034212,0.0008885074610304276,0.00832110878799207,1
SIM-A,5,,1.0011450007754235,0.0011450007754234548,0.00020007009927603179,0.0009776734655574455,0.009156162497612365,1
SIM-A,6,,0.9997838390622248,0.00021616093777521161,3.774798266220637e-05,0.0001844553258014741,0.0017274942398055057,1
SIM-A,7,,1.0005086088022104,0.0005086088022103752,8.884618158055687e-05,0.0004341539200274241,0.004065988407875989,1
SIM-A,8,,1.0069866210764569,0.006986621076456867,0.0012239390892103508,0.005981866212113138,0.05601782665415826,0
SIM-A,9,,0.9975880616192626,0.0024119383807373884,0.0004207883324783198,0.0020560755418276024,0.0192562947945244,1
SIM-A,10,,1.001322271143609,0.001322271143608944,0.00023106319697370733,0.001129130906065343,0.010574581150680938,1
SIM-A,11,,1.0052909560934706,0.0052909560934706334,0.0009261953923164403,0.0045264720265989385,0.0423895732876268,1
SIM-A,12,,1.002617016101175,0.0026170161011749293,0.00045757673260273505,0.002236100665004209,0.020941329920937803,1
SIM-A,13,,0.9970773686552559,0.002922631344744131,0.0005097697805628721,0.0024908322183760925,0.023328127037077914,1
SIM-A,14,,1.0003384385046132,0.00033843850461323655,5.9115609819134906e-05,0.0002888719418199126,0.00270538131841457,1
SIM-A,15,,1.0002570159530464,0.00025701595304639113,4.489179207335764e-05,0.00021936598351691628,0.0020544366295879766,1
SIM-A,16,,1.0072773693502546,0.007277369350254581,0.001275036528281837,0.006231648500262538,0.058356707479168914,0
SIM-A,17,,0.9995533774578236,0.0004466225421764225,7.798537740129428e-05,0.0003810730766783322,0.003568901815217288,1
SIM-A,18,,1.001389705659173,0.0013897056591729573,0.00024285439144380497,0.0011867526043244788,0.011114214460082214,1
SIM-A,19,,1.0014054813404605,0.0014054813404604793,0.00024561293325884226,0.001200233188657508,0.011240461448622086,1
SIM-A,20,,1.0016244249838304,0.0016244249838304192,0.0002839014555716157,0.0013873446032017108,0.012992773691542904,1
SIM-A,21,,0.9968521439169092,0.003147856083090761,0.0005489995039571172,0.002682502631957017,0.025123277687123573,1
SIM-A,22,,1.001581070881957,0.0015810708819570252,0.0002763191726607342,0.0013502907345949097,0.012645762128969758,1
SIM-A,23,,1.0018614512805444,0.0018614512805443795,0.00032536055453402446,0.0015899525485947759,0.014890202665746475,1
SIM-A,24,,0.9958590765917129,0.004140923408287089,0.0007218797566946845,0.0035271470685225735,0.03303412710912091,1
SIM-A,25,,0.998619528088415,0.0013804719115849684,0.00024094719659317843,0.001177355181744657,0.011026493857149279,1
SIM-A,26,,0.9954454548084706,0.004554545191529424,0.0007938415016319051,0.0038787216064155275,0.03632696384771101,1
SIM-A,27,,1.0008597725987607,0.0008597725987606886,0.00015021231650961186,0.0007340306243007492,0.006874404553810943,1
SIM-A,28,,1.0006605019144459,0.0006605019144458879,0.00011538729084984018,0.0005638512182013263,0.005280636662598152,1
SIM-A,29,,1.001463118994042,0.0014631189940419453,0.000255691801260949,0.0012494872099440488,0.011701729804581836,1
SIM-A,30,,1.0070951260373322,0.0070951260373322,0.0012430067212860847,0.006075075028293705,0.05689060646268443,0
SIM-A,31,,1.0006517452878203,0.0006517452878203045,0.00011385710159430414,0.0005563736822096263,0.005210607732228471,1
SIM-A,32,,1.0058505053233544,0.005850505323354405,0.0010243981645956409,0.0050064794792301,0.04688441954164383,1
SIM-A,33,,0.992783014791575,0.007216985208424953,0.0012564263404828831,0.0061385758668601395,0.05749299418926708,0
SIM-A,34,,0.9998653095020079,0.00013469049799208488,2.3521718163439925e-05,0.00011493897837575848,0.001076446403428747,1
SIM-A,35,,0.9970880580225434,0.002911941977456589,0.0005079077098349744,0.0024817343798426874,0.023242918451845885,1
SIM-A,36,,0.9971563150711361,0.0028436849288638877,0.0004960170283912839,0.00242363793715406,0.022698798769073117,1
SIM-A,37,,1.001960368881039,0.0019603688810390096,0.00034266513389548983,0.0016745196249498637,0.015682172716237563,1
SIM-A,38,,1.0002318596148885,0.0002318596148884744,4.0497402575058835e-05,0.00019789246084898218,0.0018533302740330409,1
SIM-A,39,,1.005418646891854,0.0054186468918540065,0.0009486013002395737,0.0046359890401639296,0.043415109832385314,1
SIM-A,40,,1.0049960340012865,0.0049960340012864535,0.0008744550231213889,0.004273575112366607,0.04002138808779651,1
SIM-A,41,,1.0021791866913614,0.002179186691361412,0.00038095032450326846,0.0018616199574683075,0.017434359710301224,1
SIM-A,42,,1.0067998037761807,0.006799803776180724,0.0011911138547658286,0.0058214070976697315,0.054515328011933345,0
SIM-A,43,,1.0020973976817529,0.0020973976817528772,0.0003666393482757701,0.0017916817481762278,0.016779392242249634,1
SIM-A,44,,0.9977572904231553,0.0022427095768446925,0.00039129365629503706,0.0019119646140260064,0.01790659116925273,1
SIM-A,45,,1.0043738144340408,0.004373814434040835,0.000765338454901326,0.0037402477474450563,0.035027124201791424,1
SIM-A,46,,0.9996997065792703,0.00030029342072968035,5.243802040071543e-05,0.00025623761073237085,0.002399764498345207,1
