condition,seed_index,time_index,zone,r_x,r_y,r_z
D0,0,0,Z0-south,0.0,0.45500000000000007,0.0
D0,0,1,Z0-south,-0.023087943055182247,0.46272532780223896,0.006389331671505127
D0,0,2,Z0-south,-0.046222804840512,0.4653719605908697,0.012647081481909517
D0,0,3,Z0-south,-0.06853171664767133,0.46367809886216516,0.018391437329400295
D0,0,4,Z0-south,-0.0893969859188557,0.45891822779464375,0.02332814602140343
D0,0,5,Z0-south,-0.10852282400626923,0.45265281547113345,0.027273389231124545
D0,0,6,Z0-south,-0.12590660964359468,0.44644852228675935,0.030142465495347937
D0,0,7,Z0-south,-0.14172874980047495,0.441623015626336,0.03191305255007704
D0,0,8,Z0-south,-0.15619683454490785,0.439056143773354,0.032580313422972296
D0,0,9,Z0-south,-0.1693902194840171,0.43908986823702123,0.032123189896851256
D0,0,10,Z0-south,-0.1811488338582684,0.4415196313652303,0.03049628526939352
D0,0,11,Z0-south,-0.19103684343409566,0.4456648332799613,0.0276515911753048
D0,0,12,Z0-south,-0.1983919282548252,0.4504979606717747,0.023582550781647837
D0,0,13,Z0-south,-0.2024492971164884,0.45480991070753896,0.01837371958022893
D0,0,14,Z0-south,-0.2025108935714457,0.45739064479869995,0.012235897506513549
D0,0,15,Z0-south,-0.1981185038806741,0.4572066364559684,0.0055104038787960885
D0,0,16,Z1-east,-0.4535577803059372,-0.18918733399806675,-0.0013639900480060252
D0,0,17,Z1-east,-0.4461963338695414,-0.17606493816494884,-0.007915367107460991
D0,0,18,Z1-east,-0.43539051907473114,-0.1594977096038115,-0.013717130778743591
D0,0,19,Z1-east,-0.42191789514904054,-0.1405096673924776,-0.018458085444053474
D0,0,20,Z1-east,-0.4069804337193581,-0.12022046493261385,-0.02198362999496739
D0,0,21,Z1-east,-0.39204479141296766,-0.09964554178448659,-0.02429650796351024
D0,0,22,Z1-east,-0.3786259493641646,-0.07952663851608677,-0.02551836772986582
D0,0,23,Z1-east,-0.368046760536866,-0.060233745638747144,-0.025825714319781312
D0,0,24,Z1-east,-0.3612158140080153,-0.041761554587732716,-0.025381550486144988
D0,0,25,Z1-east,-0.3584677281219728,-0.02381915676497201,-0.02428460770587937
D0,0,26,Z1-east,-0.35950162114564144,-0.005987395149839259,-0.02255147948636327
D0,0,27,Z1-east,-0.36343573052147904,0.012099611402912047,-0.02013549625634714
D0,0,28,Z1-east,-0.36897233527847684,0.030598658740628393,-0.016973706640112995
D0,0,29,Z1-east,-0.3746428201290368,0.04937001705559041,-0.013044026847500056
D0,0,30,Z1-east,-0.3790842866601243,0.06798168747208755,-0.008411581770404908
D0,0,31,Z1-east,-0.3812918955302773,0.08580246730959806,-0.0032474690263750716
D0,0,32,Z2-north,-0.10215543600977828,-0.3807974664103644,0.002186862282901325
D0,0,33,Z2-north,-0.11648638753952478,-0.3777430215023515,0.007584210500998445
D0,0,34,Z2-north,-0.12849821067574485,-0.3728424506019532,0.012649630118617194
D0,0,35,Z2-north,-0.1382129973530859,-0.3672480047777136,0.01715177519038047
D0,0,36,Z2-north,-0.1459448966738226,-0.3623545089988537,0.020950227434470836
D0,0,37,Z2-north,-0.15219160668969767,-0.3595798423826436,0.023990398287129677
D0,0,38,Z2-north,-0.15747371101865903,-0.3601562070109734,0.026269513333250893
D0,0,39,Z2-north,-0.16216360656638476,-0.3649569199908802,0.02778782146352765
D0,0,40,Z2-north,-0.16634744845209376,-0.3743728554197221,0.028504750827725855
D0,0,41,Z2-north,-0.16975517596943712,-0.3882449959561092,0.028318287729874436
D0,0,42,Z2-north,-0.17177794048077089,-0.4058560528165578,0.027077848106820124
D0,0,43,Z2-north,-0.1715725731971811,-0.4259833466974907,0.02462905186764952
D0,0,44,Z2-north,-0.16823277156222316,-0.44701403542111895,0.020877129739965472
D0,0,45,Z2-north,-0.16099022850447708,-0.4671192774041302,0.01584821168002226
D0,0,46,Z2-north,-0.14939973401485496,-0.4844746938286697,0.00972713683972204
D0,0,47,Z2-north,-0.13346341167412623,-0.4975019539745906,0.0028570785122932207
D0,0,48,Z3-west,0.5050945294534781,-0.11366188833207813,-0.004301897992115888
D0,0,49,Z3-west,0.5067849729350771,-0.0908824207649408,-0.011245159427243134
D0,0,50,Z3-west,0.5028157852459112,-0.06626050883575063,-0.017506655004986937
D0,0,51,Z3-west,0.49409212954273984,-0.04097476968536995,-0.022729549232241464
D0,0,52,Z3-west,0.4820191699109926,-0.016047526852433158,-0.02670539623967083
D0,0,53,Z3-west,0.4682530317627469,0.0077986183270591924,-0.029373438168577737
D0,0,54,Z3-west,0.45441458451449446,0.03019455135207455,-0.03078458409235041
D0,0,55,Z3-west,0.4418234870676485,0.051080918824081806,-0.03104560959981484
D0,0,56,Z3-west,0.4313041093883174,0.07058630805484321,-0.030264460683643524
D0,0,57,Z3-west,0.4230972409201448,0.08886739377561176,-0.028515612829556947
D0,0,58,Z3-west,0.41688728079093673,0.10595972671325804,-0.025836091588202326
D0,0,59,Z3-west,0.4119304111389326,0.12168266934708344,-0.022251010102361857
D0,0,60,Z3-west,0.4072507973953581,0.13562514115958368,-0.017816428508743654
D0,0,61,Z3-west,0.40186264076998635,0.14721535717949474,-0.01266082323117157
D0,0,62,Z3-west,0.3949766482024326,0.15585412488550965,-0.007006747774648492
D0,0,63,Z3-west,0.3861583250127698,0.16107377534356582,-0.0011612988138287594
D0,0,64,Z4-center,-0.3045590734867969,0.27321634866312494,0.004524670551085297
D0,0,65,Z4-center,-0.29778531697803023,0.2629179942976143,0.009717034573669237
D0,0,66,Z4-center,-0.28809476545755386,0.2533459321604142,0.014159300518391094
D0,0,67,Z4-center,-0.2766859230339298,0.245266903748423,0.017713678792963927
D0,0,68,Z4-center,-0.264923918532863,0.23954902024972857,0.020368268340083207
D0,0,69,Z4-center,-0.25410056190985064,0.23708144728629132,0.022207592056173286
D0,0,70,Z4-center,-0.24520156767617785,0.2386791310696274,0.02335616071309854
D0,0,71,Z4-center,-0.2387258939246264,0.2449718776315179,0.023914036484138146
D0,0,72,Z4-center,-0.23459302224218578,0.25628531527141307,0.02390631028576351
D0,0,73,Z4-center,-0.23215831482462815,0.27253172352947796,0.02326398411606645
D0,0,74,Z4-center,-0.23033642859834225,0.2931370993323213,0.021843423298632203
D0,0,75,Z4-center,-0.2278111139692226,0.31703273421540434,0.0194787357319528
D0,0,76,Z4-center,-0.2232906087306198,0.34273204437042404,0.0160503923107973
D0,0,77,Z4-center,-0.21575598862138534,0.36849638905997106,0.011547809886404137
D0,0,78,Z4-center,-0.20464946527055128,0.3925707363347918,0.006105380249286085
D0,0,79,Z4-center,-0.1899625780555736,0.4134479640033072,0.0
D0,1,0,Z0-south,0.0,0.45500000000000007,0.0
D0,1,1,Z0-south,-0.023087943055182247,0.46272532780223896,0.006389331671505127
D0,1,2,Z0-south,-0.046222804840512,0.4653719605908697,0.012647081481909517
D0,1,3,Z0-south,-0.06853171664767133,0.46367809886216516,0.018391437329400295
D0,1,4,Z0-south,-0.0893969859188557,0.45891822779464375,0.02332814602140343
D0,1,5,Z0-south,-0.10852282400626923,0.45265281547113345,0.027273389231124545
D0,1,6,Z0-south,-0.12590660964359468,0.44644852228675935,0.030142465495347937
D0,1,7,Z0-south,-0.14172874980047495,0.441623015626336,0.03191305255007704
D0,1,8,Z0-south,-0.15619683454490785,0.439056143773354,0.032580313422972296
D0,1,9,Z0-south,-0.1693902194840171,0.43908986823702123,0.032123189896851256
D0,1,10,Z0-south,-0.1811488338582684,0.4415196313652303,0.03049628526939352
D0,1,11,Z0-south,-0.19103684343409566,0.4456648332799613,0.0276515911753048
D0,1,12,Z0-south,-0.1983919282548252,0.4504979606717747,0.023582550781647837
D0,1,13,Z0-south,-0.2024492971164884,0.45480991070753896,0.01837371958022893
D0,1,14,Z0-south,-0.2025108935714457,0.45739064479869995,0.012235897506513549
D0,1,15,Z0-south,-0.1981185038806741,0.4572066364559684,0.0055104038787960885
D0,1,16,Z1-east,-0.4535577803059372,-0.18918733399806675,-0.0013639900480060252
D0,1,17,Z1-east,-0.4461963338695414,-0.17606493816494884,-0.007915367107460991
D0,1,18,Z1-east,-0.43539051907473114,-0.1594977096038115,-0.013717130778743591
D0,1,19,Z1-east,-0.42191789514904054,-0.1405096673924776,-0.018458085444053474
D0,1,20,Z1-east,-0.4069804337193581,-0.12022046493261385,-0.02198362999496739
D0,1,21,Z1-east,-0.39204479141296766,-0.09964554178448659,-0.02429650796351024
D0,1,22,Z1-east,-0.3786259493641646,-0.07952663851608677,-0.02551836772986582
D0,1,23,Z1-east,-0.368046760536866,-0.060233745638747144,-0.025825714319781312
D0,1,24,Z1-east,-0.3612158140080153,-0.041761554587732716,-0.025381550486144988
D0,1,25,Z1-east,-0.3584677281219728,-0.02381915676497201,-0.02428460770587937
D0,1,26,Z1-east,-0.35950162114564144,-0.005987395149839259,-0.02255147948636327
D0,1,27,Z1-east,-0.36343573052147904,0.012099611402912047,-0.02013549625634714
D0,1,28,Z1-east,-0.36897233527847684,0.030598658740628393,-0.016973706640112995
D0,1,29,Z1-east,-0.3746428201290368,0.04937001705559041,-0.013044026847500056
D0,1,30,Z1-east,-0.3790842866601243,0.06798168747208755,-0.008411581770404908
D0,1,31,Z1-east,-0.3812918955302773,0.08580246730959806,-0.0032474690263750716
D0,1,32,Z2-north,-0.10215543600977828,-0.3807974664103644,0.002186862282901325
D0,1,33,Z2-north,-0.11648638753952478,-0.3777430215023515,0.007584210500998445
D0,1,34,Z2-north,-0.12849821067574485,-0.3728424506019532,0.012649630118617194
D0,1,35,Z2-north,-0.1382129973530859,-0.3672480047777136,0.01715177519038047
D0,1,36,Z2-north,-0.1459448966738226,-0.3623545089988537,0.020950227434470836
D0,1,37,Z2-north,-0.15219160668969767,-0.3595798423826436,0.023990398287129677
D0,1,38,Z2-north,-0.15747371101865903,-0.3601562070109734,0.026269513333250893
D0,1,39,Z2-north,-0.16216360656638476,-0.3649569199908802,0.02778782146352765
D0,1,40,Z2-north,-0.16634744845209376,-0.3743728554197221,0.028504750827725855
D0,1,41,Z2-north,-0.16975517596943712,-0.3882449959561092,0.028318287729874436
D0,1,42,Z2-north,-0.17177794048077089,-0.4058560528165578,0.027077848106820124
D0,1,43,Z2-north,-0.1715725731971811,-0.4259833466974907,0.02462905186764952
D0,1,44,Z2-north,-0.16823277156222316,-0.44701403542111895,0.020877129739965472
D0,1,45,Z2-north,-0.16099022850447708,-0.4671192774041302,0.01584821168002226
D0,1,46,Z2-north,-0.14939973401485496,-0.4844746938286697,0.00972713683972204
D0,1,47,Z2-north,-0.13346341167412623,-0.4975019539745906,0.0028570785122932207
D0,1,48,Z3-west,0.5050945294534781,-0.11366188833207813,-0.004301897992115888
D0,1,49,Z3-west,0.5067849729350771,-0.0908824207649408,-0.011245159427243134
D0,1,50,Z3-west,0.5028157852459112,-0.06626050883575063,-0.017506655004986937
D0,1,51,Z3-west,0.49409212954273984,-0.04097476968536995,-0.022729549232241464
D0,1,52,Z3-west,0.4820191699109926,-0.016047526852433158,-0.02670539623967083
D0,1,53,Z3-west,0.4682530317627469,0.0077986183270591924,-0.029373438168577737
D0,1,54,Z3-west,0.45441458451449446,0.03019455135207455,-0.03078458409235041
