condition,seed_index,time_index,zone,path_count,bounce_0,bounce_1,bounce_2,bounce_3,reconstruction_nrmse
D0,-1,0,Z0-south,61,1,6,17,37,1.035694126017006e-07
D0,-1,1,Z0-south,62,1,6,18,37,1.0359672586446322e-07
D0,-1,2,Z0-south,61,1,6,18,36,9.424896063592314e-08
D0,-1,3,Z0-south,61,1,6,17,37,8.840109444463451e-08
D0,-1,4,Z0-south,58,1,6,17,34,7.893060427477394e-08
D0,-1,5,Z0-south,59,1,6,18,34,1.1330604365866748e-07
D0,-1,6,Z0-south,61,1,6,18,36,7.508761257213337e-08
D0,-1,7,Z0-south,61,1,6,18,36,1.3815464683375467e-07
D0,-1,8,Z0-south,62,1,6,18,37,9.854512939000415e-08
D0,-1,9,Z0-south,63,1,6,18,38,1.4396910330560786e-07
D0,-1,10,Z0-south,63,1,6,18,38,7.622771391879724e-08
D0,-1,11,Z0-south,63,1,6,18,38,1.1229721508243529e-07
D0,-1,12,Z0-south,62,1,6,18,37,7.140378244230305e-08
D0,-1,13,Z0-south,64,1,6,19,38,9.529528455232139e-08
D0,-1,14,Z0-south,66,1,7,20,38,1.464775891690806e-07
D0,-1,15,Z0-south,60,1,7,19,33,8.364090575696537e-08
D0,-1,16,Z1-east,58,1,6,17,34,7.839858540137357e-08
D0,-1,17,Z1-east,59,1,6,18,34,8.475231538795924e-08
D0,-1,18,Z1-east,59,1,6,17,35,8.391948114194747e-08
D0,-1,19,Z1-east,58,1,6,17,34,1.0459680055419085e-07
D0,-1,20,Z1-east,57,1,6,17,33,9.909777531902364e-08
D0,-1,21,Z1-east,55,1,6,16,32,7.845967786579422e-08
D0,-1,22,Z1-east,46,1,5,13,27,9.202061335145117e-08
D0,-1,23,Z1-east,46,1,5,13,27,9.599509809277151e-08
D0,-1,24,Z1-east,46,1,5,13,27,9.749140161829928e-08
D0,-1,25,Z1-east,47,1,5,13,28,8.372470006179356e-08
D0,-1,26,Z1-east,47,1,5,13,28,8.809886509197895e-08
D0,-1,27,Z1-east,49,1,5,14,29,9.321153982000396e-08
D0,-1,28,Z1-east,47,1,5,14,27,1.0402451522395495e-07
D0,-1,29,Z1-east,45,1,5,13,26,1.068727115693946e-07
D0,-1,30,Z1-east,48,1,6,14,27,8.425450914728572e-08
D0,-1,31,Z1-east,47,1,6,13,27,8.188957423271859e-08
D0,-1,32,Z2-north,58,1,6,17,34,9.293033542689955e-08
D0,-1,33,Z2-north,61,1,6,18,36,1.0360700031242231e-07
D0,-1,34,Z2-north,58,1,6,17,34,1.1790496046160115e-07
D0,-1,35,Z2-north,59,1,6,17,35,7.938636059634518e-08
D0,-1,36,Z2-north,63,1,6,18,38,1.1997171611710655e-07
D0,-1,37,Z2-north,62,1,6,18,37,8.960657993384302e-08
D0,-1,38,Z2-north,62,1,6,18,37,8.227898717905191e-08
D0,-1,39,Z2-north,62,1,6,18,37,8.691080211065128e-08
D0,-1,40,Z2-north,62,1,6,18,37,8.636515502757902e-08
D0,-1,41,Z2-north,62,1,6,18,37,9.803691369825174e-08
D0,-1,42,Z2-north,62,1,6,18,37,9.409342993649261e-08
D0,-1,43,Z2-north,62,1,6,18,37,1.1302472557872534e-07
D0,-1,44,Z2-north,63,1,6,18,38,9.067337458645852e-08
D0,-1,45,Z2-north,63,1,6,18,38,8.215742752781807e-08
D0,-1,46,Z2-north,64,1,6,19,38,1.030293717008135e-07
D0,-1,47,Z2-north,62,1,6,18,37,1.0053265242504494e-07
D0,-1,48,Z3-west,49,0,3,14,32,8.171245724497567e-08
D0,-1,49,Z3-west,48,0,3,14,31,8.00129740241573e-08
D0,-1,50,Z3-west,48,0,3,14,31,9.735239814290253e-08
D0,-1,51,Z3-west,49,0,3,14,32,1.2027255991142738e-07
D0,-1,52,Z3-west,45,0,3,13,29,2.329851440663333e-07
D0,-1,53,Z3-west,45,0,3,13,29,2.1304784070252936e-07
D0,-1,54,Z3-west,41,0,2,11,28,9.462385008873753e-08
D0,-1,55,Z3-west,41,0,2,11,28,7.376567623396113e-08
D0,-1,56,Z3-west,42,0,2,11,29,9.621241758850374e-08
D0,-1,57,Z3-west,43,0,2,11,30,9.318753768638999e-08
D0,-1,58,Z3-west,42,0,2,11,29,1.1106220654255594e-07
D0,-1,59,Z3-west,40,0,2,11,27,1.378081435632339e-07
D0,-1,60,Z3-west,42,0,2,11,29,1.0563574903699191e-07
D0,-1,61,Z3-west,42,0,2,11,29,1.40603773957082e-07
D0,-1,62,Z3-west,42,0,2,11,29,2.126513436451205e-07
D0,-1,63,Z3-west,41,0,2,11,28,1.1664624821605685e-07
D0,-1,64,Z4-center,52,1,5,15,31,1.009078829383725e-07
D0,-1,65,Z4-center,51,1,5,15,30,1.0348131240789371e-07
D0,-1,66,Z4-center,55,1,5,16,33,8.475285540043842e-08
D0,-1,67,Z4-center,57,1,5,16,35,8.689294617170162e-08
D0,-1,68,Z4-center,57,1,5,16,35,9.817381396715064e-08
D0,-1,69,Z4-center,62,1,6,18,37,8.584643751419208e-08
D0,-1,70,Z4-center,60,1,6,18,35,8.987655064629507e-08
D0,-1,71,Z4-center,62,1,6,18,37,1.238523026358962e-07
D0,-1,72,Z4-center,62,1,6,18,37,9.01655283769287e-08
D0,-1,73,Z4-center,66,1,6,19,40,7.391298595393891e-08
D0,-1,74,Z4-center,61,1,6,18,36,7.812737123913394e-08
D0,-1,75,Z4-center,55,1,6,16,32,8.890783220749654e-08
D0,-1,76,Z4-center,55,1,6,16,32,9.375673926115269e-08
D0,-1,77,Z4-center,54,1,6,16,31,9.140858736600421e-08
D0,-1,78,Z4-center,58,1,6,17,34,1.1366356744701989e-07
D0,-1,79,Z4-center,61,1,6,18,36,9.898955966036738e-08
D1,0,0,Z0-south,61,1,6,17,37,1.035694126017006e-07
D1,0,1,Z0-south,62,1,6,18,37,1.0359672586446322e-07
D1,0,2,Z0-south,61,1,6,18,36,9.424896063592314e-08
D1,0,3,Z0-south,61,1,6,17,37,8.840109444463451e-08
D1,0,4,Z0-south,59,1,6,17,35,8.299974751935224e-08
D1,0,5,Z0-south,59,1,6,18,34,1.1330604365866748e-07
D1,0,6,Z0-south,61,1,6,18,36,7.508761257213337e-08
D1,0,7,Z0-south,61,1,6,18,36,1.3815464683375467e-07
D1,0,8,Z0-south,62,1,6,18,37,9.854512939000415e-08
D1,0,9,Z0-south,62,1,6,18,37,1.1936985799820832e-07
D1,0,10,Z0-south,63,1,6,18,38,7.43538706160507e-08
D1,0,11,Z0-south,63,1,6,18,38,1.1114658349242745e-07
D1,0,12,Z0-south,62,1,6,18,37,7.140378244230305e-08
D1,0,13,Z0-south,64,1,6,19,38,8.54832435948083e-08
D1,0,14,Z0-south,66,1,7,20,38,1.4556852079294913e-07
D1,0,15,Z0-south,60,1,7,19,33,9.343515472437502e-08
D1,0,16,Z1-east,59,1,6,18,34,7.307826166425002e-08
